Accession	Protein names	Gene names
E9Q4D8	Ubiquitin carboxyl-terminal hydrolase 45 (Fragment)	Usp45
E9Q4E0	RIKEN cDNA 5031410I06 gene	5031410I06Rik
E9Q4E2	Synphilin-1	Sncaip
E9Q4E4	DENN domain-containing protein 2C	Dennd2c
E9Q4E5	Hematopoietic lineage cell-specific protein	Hcls1
E9Q4F1	Phospholipid phosphatase-related protein type 3 (Fragment)	Plppr3
E9Q4F3	Thyroid stimulating hormone beta subunit	Tshb
E9Q4F4	Small nuclear ribonucleoprotein E	Snrpe
E9Q4F8	Ankyrin repeat domain-containing protein 11	Ankrd11
E9Q4F9	Homer protein homolog 2	Homer2
E9Q4G0	Olfactory receptor	Olfr420
E9Q4G4	Apolipoprotein B-100 (Fragment)	Apob
E9Q4G6	Protein FAM166B	Fam166b
E9Q4G7	Casein kinase I isoform alpha	Csnk1a1
E9Q4G8	CD166 antigen	Alcam
E9Q4G9	"Predicted gene, 21293"	Gm21293
E9Q4H1	Adenomatous polyposis coli protein (Fragment)	Apc
E9Q4H3	Vomeronasal type-1 receptor	Vmn1r119
E9Q4H5	Adhesion G protein-coupled receptor B1	Adgrb1
E9Q4H6	F-actin-uncapping protein LRRC16A (Fragment)	Carmil1
E9Q4H9	Zinc finger protein 414 (Fragment)	Zfp414
E9Q4I1	Protein-tyrosine-phosphatase	Ptpro
E9Q4I5	Glycosylphosphatidylinositol anchor attachment 1 protein	Gpaa1
E9Q4I8	Myotubularin-related protein 13	Sbf2
E9Q4I9	Zinc finger protein 473 (Fragment)	Zfp473
E9Q4J3	Olfactory receptor	Olfr373
E9Q4J5	Phospholipid-transporting ATPase IA	Atp8a1
E9Q4K0	Actin-binding LIM protein 2	Ablim2
E9Q4K2	AFG1-like ATPase	Afg1l
E9Q4K3	Branched-chain-amino-acid aminotransferase	Bcat1
E9Q4K7	Kinesin family member 13B	Kif13b
E9Q4K9	E3 ubiquitin-protein ligase	Smurf1
E9Q4L9	"Cytochrome P450, family 4, subfamily f, polypeptide 13"	Cyp4f13
E9Q4M0	Transmembrane protein 44	Tmem44
E9Q4M1	Olfactory receptor	Olfr376
E9Q4M2	Hormone-sensitive lipase	Lipe
E9Q4M4	MICOS complex subunit Mic25	Chchd6
E9Q4M5	Mitochondria-eating protein	Spata18
E9Q4M7	Epidermal growth factor-like protein 7	Egfl7
E9Q4M8	Delta(14)-sterol reductase TM7SF2	Tm7sf2
E9Q4N1	Semaphorin-6C	Sema6c
E9Q4N3	E3 ubiquitin-protein ligase LNX	Lnx1
E9Q4N6	AT-rich interactive domain-containing protein 1B	Arid1b
E9Q4N8	Vascular endothelial growth factor A	Vegfa
E9Q4N9	Vascular endothelial growth factor A	Vegfa
E9Q4P0	KxDL motif-containing protein 1 (Fragment)	Kxd1
E9Q4P5	Phosphoinositide 5-phosphatase	Synj2
E9Q4P7	Probable ribosome biogenesis protein RLP24	Rsl24d1
E9Q4P9	Mpv17-like protein	Mpv17l
E9Q4Q0	Zinc finger protein 993	Zfp993
E9Q4Q2	Splicing factor 1	Sf1
E9Q4Q6	Pumilio homolog 2 (Fragment)	Pum2
E9Q4Q7	5-hydroxytryptamine receptor 7	Htr7
E9Q4Q8	Prefoldin 4 (Fragment)	Pfdn4
E9Q4Q9	Non-specific serine/threonine protein kinase (Fragment)	Mast4
E9Q4R0	Myocardial zonula adherens protein (Fragment)	Myzap
E9Q4R1	Protein FAM102B	Fam102b
E9Q4R2	"Serine (or cysteine) peptidase inhibitor, clade B, member 6a (Fragment)"	Serpinb6a
E9Q4R3	Rho GTPase-activating protein 4	Arhgap4
E9Q4R4	Zinc finger protein 882	Zfp882
E9Q4R5	Zinc finger protein 961	Zfp961
E9Q4S7	Protein-tyrosine-phosphatase	Ptprj
E9Q4S8	C-terminal-binding protein 2 (Fragment)	Ctbp2
E9Q4S9	Transporter (Fragment)	Slc6a17
E9Q4T0	Holliday junction recognition protein	Hjurp
E9Q4T1	Rho GTPase-activating protein 19	Arhgap19
E9Q4T3	Selection and upkeep of intraepithelial T-cells protein 5	Skint5
E9Q4T4	Coiled-coil domain-containing 71-like	Ccdc71l
E9Q4T5	1-alkyl-2-acetylglycerophosphocholine esterase (Fragment)	Pla2g7
E9Q4T8	Cullin-3	Cul3
E9Q4T9	Transmembrane protease serine 4	Tmprss4
E9Q4U5	"Vomeronasal 2, receptor 56"	Vmn2r56
E9Q4U6	Protrudin (Fragment)	Zfyve27
E9Q4U7	Protein diaphanous homolog 2	Diaph2
E9Q4V1	NXPE family member 2	Nxpe2
E9Q4V2	Histone-lysine N-methyltransferase	Prdm9
E9Q4V7	Prostate and testis-expressed 7	Pate7
E9Q4V9	Nuclear pore complex protein	Nup107
E9Q4W0	Oxidoreductase NAD-binding domain-containing protein 1	Oxnad1
E9Q4W5	Heterogeneous nuclear ribonucleoprotein D0	Hnrnpd
E9Q4W7	Serine/threonine-protein kinase PLK4 (Fragment)	Plk4
E9Q4X2	UDP-glucose glycoprotein glucosyltransferase 2	Uggt2
E9Q4X4	"Vomeronasal 2, receptor 11"	Vmn2r11
E9Q4X5	Epidermal growth factor receptor kinase substrate 8-like protein 1	Eps8l1
E9Q4X7	Olfactory receptor 609	Olfr609
E9Q4Y0	Nuclear autoantigen Sp-100	Sp100
E9Q4Y1	Alcohol dehydrogenase 6A (class V)	Adh6a
E9Q4Y4	Centrosomal protein 192	Cep192
E9Q4Y5	Protein polybromo-1	Pbrm1
E9Q4Y8	RIKEN cDNA 8030474K03 gene	8030474K03Rik
E9Q4Y9	WW domain-containing adapter protein with coiled-coil	Wac
E9Q4Z6	Double zinc ribbon and ankyrin repeat-containing protein 1	Dzank1
E9Q500	Mesoderm induction early response protein 2 (Fragment)	Mier2
E9Q501	Predicted gene 2237	Gm2237
E9Q503	Equilibrative nucleoside transporter 1 (Fragment)	Slc29a1
E9Q504	Histone demethylase UTY	Uty
E9Q507	GON-4-like protein	Gon4l
E9Q509	Pyruvate kinase	Pklr
E9Q512	Thyroid hormone receptor interactor 11	Trip11
E9Q514	Protein NDRG1 (Fragment)	Ndrg1
E9Q516	Coiled-coil domain-containing protein 77	Ccdc77
E9Q517	Sodium- and chloride-dependent glycine transporter 1	Slc6a9
E9Q518	Olfactory receptor	Olfr520
E9Q519	Olfactory receptor	Olfr521
E9Q520	Zinc finger protein 54 (Fragment)	Zfp54
E9Q522	Histamine H3 receptor	Hrh3
E9Q524	RING-type E3 ubiquitin transferase	Trim9
E9Q526	C2 domain-containing protein 3	C2cd3
E9Q528	Predicted gene 17175	Gm17175
E9Q529	Histone deacetylase complex subunit SAP25	Sap25
E9Q532	Rearranged L-myc fusion sequence	Rlf
E9Q540	Histamine H3 receptor	Hrh3
E9Q542	Olfactory receptor	Olfr549
E9Q543	Folate receptor alpha (Fragment)	Folr1
E9Q544	Olfactory receptor	Olfr550
E9Q545	Olfactory receptor	Olfr552
E9Q546	Olfactory receptor 554	Olfr554
E9Q547	Olfactory receptor	Olfr555
E9Q548	Predicted gene 20518	Gm20518
E9Q549	Olfactory receptor	Olfr556
E9Q550	Olfactory receptor	Olfr557
E9Q552	Jouberin	Ahi1
E9Q553	Serine incorporator 1	Serinc1
E9Q554	Olfactory receptor	Olfr568
E9Q559	Calcium-transporting ATPase	Atp2a3
E9Q561	Eukaryotic initiation factor 4A-II	Eif4a2
E9Q564	Olfactory receptor	Olfr608
E9Q565	Myocardial zonula adherens protein	Myzap
E9Q567	Coiled-coil domain-containing protein 28B	Ccdc28b
E9Q569	Zinc finger protein 398	Zfp398
E9Q572	Methyl-CpG-binding domain protein 6	Mbd6
E9Q573	Predicted gene 609	Gm609
E9Q575	Caspase-12	Casp12
E9Q577	BRCA1-A complex subunit RAP80	Uimc1
E9Q579	Mitochondrial glutamate carrier 1	Slc25a22
E9Q580	Unconventional myosin-Ib	Myo1b
E9Q585	"Solute carrier family 4 (anion exchanger), member 1, adaptor protein"	Slc4a1ap
E9Q586	Dynactin subunit 1	Dctn1
E9Q589	Neural cell adhesion molecule 1	Ncam1
E9Q591	Proline-rich 27	Prr27
E9Q592	DnaJ homolog subfamily C member 8	Dnajc8
E9Q593	Cytochrome P450	Cyp2b23
E9Q598	Olfactory receptor	Olfr610
E9Q5A2	cDNA sequence BC107364	BC107364
E9Q5A3	Histone-lysine N-methyltransferase EHMT1	Ehmt1
E9Q5A6	"Nuclear receptor subfamily 1, group H, member 5"	Nr1h5
E9Q5A7	Zinc finger homeobox protein 4	Zfhx4
E9Q5A8	Centrosome-associated protein CEP250	Cep250
E9Q5B2	Methyltransferase-like 26	Mettl26
E9Q5B4	Zinc finger SCAN domains 29	Zscan29
E9Q5B5	Hexokinase	Hk2
E9Q5B6	Heterogeneous nuclear ribonucleoprotein D0 (Fragment)	Hnrnpd
E9Q5B9	Metalloendopeptidase	Tll2
E9Q5C0	Calcium-dependent secretion activator 2	Cadps2
E9Q5C2	Fibroblast growth factor receptor	Fgfr2
E9Q5C3	Receptor protein-tyrosine kinase (Fragment)	Fgfr2
E9Q5C5	Retinoblastoma-associated protein	Rb1
E9Q5C7	"Vomeronasal 2, receptor 41"	Vmn2r41
E9Q5D0	Splicing factor U2AF 26 kDa subunit	U2af1l4
E9Q5D4	Cytochrome P450 2A5	Cyp2a5
E9Q5D5	WW domain-containing adapter protein with coiled-coil	Wac
E9Q5D6	Ran-binding protein 9	Ranbp9
E9Q5D8	"Vomeronasal 2, receptor 48"	Vmn2r48
E9Q5D9	Insulin-like growth factor-binding protein 7	Igfbp7
E9Q5E0	Myocyte-specific enhancer factor 2D	Mef2d
E9Q5E1	Protocadherin-19	Pcdh19
E9Q5E2	THO complex subunit 2	Thoc2l
E9Q5E3	Protein Wnt	Wnt7b
E9Q5E9	Equilibrative nucleoside transporter 1 (Fragment)	Slc29a1
E9Q5F1	Olfactory receptor	Olfr430
E9Q5F4	"Actin, cytoplasmic 1 (Fragment)"	Actb
E9Q5F6	Polyubiquitin-C (Fragment)	Ubc
E9Q5F7	SOSS complex subunit B1	Nabp2
E9Q5G1	Unconventional myosin-X	Myo10
E9Q5G2	Protocadherin beta 9	Pcdhb9
E9Q5G8	Zinc finger protein 820	Zfp820
E9Q5G9	Olfactory receptor	Olfr1354
E9Q5H2	Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment)	Anp32e
E9Q5H3	3-hydroxy-3-methylglutaryl-coenzyme A reductase (Fragment)	Hmgcr
E9Q5H8	"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial"	Cox16
E9Q5I0	"cAMP-specific 3',5'-cyclic phosphodiesterase 7B"	Pde7b
E9Q5I2	Serine protease inhibitor Kazal-type 10	Spink10
E9Q5I3	"Mucin 5, subtype B, tracheobronchial"	Muc5b
E9Q5I8	Protein NDRG1 (Fragment)	Ndrg1
E9Q5I9	26S proteasome non-ATPase regulatory subunit 13	Psmd13
E9Q5J1	Voltage-dependent calcium channel beta subunit-associated regulatory protein	Cbarp
E9Q5J3	Splicing factor U2AF 26 kDa subunit	U2af1l4
E9Q5J9	Tropomyosin alpha-3 chain	Tpm3
E9Q5K1	Transcription factor-like 5 (basic helix-loop-helix)	Tcfl5
E9Q5K2	"Predicted gene, 17728"	Gm17728
E9Q5K6	Protein naked cuticle homolog	Nkd1
E9Q5K7	Uridine phosphorylase 1 (Fragment)	Upp1
E9Q5K8	Integrin alpha-M	Itgam
E9Q5L1	Otoancorin (Fragment)	Otoa
E9Q5L2	"Inter alpha-trypsin inhibitor, heavy chain 4"	Itih4
E9Q5L3	"Short/branched chain-specific acyl-CoA dehydrogenase, mitochondrial"	Acadsb
E9Q5L4	Capping protein-inhibiting regulator of actin dynamics	Cracd
E9Q5L6	Collagen alpha-1(XXV) chain	Col25a1
E9Q5L7	PHD finger protein 10	Phf10
E9Q5L9	Glutathione S-transferase Mu 5	Gstm5
E9Q5M1	Non-specific protein-tyrosine kinase (Fragment)	Tnk2
E9Q5M3	S100P-binding protein (Fragment)	S100pbp
E9Q5M4	Zinc finger RNA-binding protein 2	Zfr2
E9Q5M9	Zinc finger protein 688	Zfp688
E9Q5N4	Transcription factor AP-2-beta	Tfap2b
E9Q5N7	Neurexin-2	Nrxn2
E9Q5N9	Zinc finger protein 395	Zfp395
E9Q5P0	Serine protease hepsin	Hpn
E9Q5P1	Predicted gene 3636	Gm3636
E9Q5P2	"Family with sequence similarity 71, member F2"	Fam71f2
E9Q5P3	Coiled-coil domain-containing 130 (Fragment)	Ccdc130
E9Q5P6	PDZ domain-containing RING finger 4	Pdzrn4
E9Q5P8	Olfactory receptor	Olfr414
E9Q5P9	Mothers against decapentaplegic homolog 2 (Fragment)	Smad2
E9Q5Q0	Ataxin-2-like protein (Fragment)	Atxn2l
E9Q5Q3	Predicted gene 8206	Gm8206
E9Q5Q5	"Serine (or cysteine) peptidase inhibitor, clade B, member 6a (Fragment)"	Serpinb6a
E9Q5Q8	Prefoldin subunit 5 (Fragment)	Pfdn5
E9Q5R2	Serine hydrolase-like protein (Fragment)	Serhl
E9Q5R5	"Methyltransferase-like protein 17, mitochondrial"	Mettl17
E9Q5R6	Rho guanine nucleotide exchange factor 37	Arhgef37
E9Q5R8	T-box transcription factor TBX22	Tbx22
E9Q5R9	Protein Wiz (Fragment)	Wiz
E9Q5S3	Histamine H3 receptor	Hrh3
E9Q5S6	SPATS2-like protein (Fragment)	Spats2l
E9Q5S9	Fc receptor-like protein 1	Fcrl1
E9Q5T0	MMS19 nucleotide excision repair protein	Mms19
E9Q5T2	Interferon regulatory factor 5 (Fragment)	Irf5
E9Q5T5	Peroxisomal acyl-coenzyme A oxidase 2 (Fragment)	Acox2
E9Q5U1	RCC1 and BTB domain-containing protein 2	Rcbtb2
E9Q5U4	Metal-response element-binding transcription factor 2 (Fragment)	Mtf2
E9Q5U8	Sodium- and chloride-dependent betaine transporter	Slc6a12
E9Q5V1	Hsc70-interacting protein (Fragment)	St13
E9Q5V3	Gasdermin-E	Gsdme
E9Q5V9	PCI domain-containing protein 2	Pcid2
E9Q5W2	"Spermatogenesis-associated 31 subfamily D, member 1D"	Spata31d1d
E9Q5W4	Protein Wiz	Wiz
E9Q5W5	Zinc finger ZZ-type and EF-hand domain-containing protein 1	Zzef1
E9Q5X0	Nucleolar protein 4 (Fragment)	Nol4
E9Q5X2	Cytoplasmic polyadenylation element-binding protein 2	Cpeb2
E9Q5X3	Thyroid hormone receptor-associated protein 3 (Fragment)	Thrap3
E9Q5X5	Galectin-3-binding protein (Fragment)	Lgals3bp
E9Q5X7	RNA-binding Raly-like protein	Ralyl
E9Q5X9	Zinc finger protein 819	Zfp819
E9Q5Y1	Dual-specificity protein kinase CLK2	Clk2
E9Q5Y2	Splicing factor U2AF 26 kDa subunit	U2af1l4
E9Q5Y5	E3 ubiquitin-protein ligase UHRF1 (Fragment)	Uhrf1
E9Q5Z1	Polynucleotide adenylyltransferase	Papola
E9Q5Z6	Alcohol dehydrogenase 6A (class V)	Adh6a
E9Q5Z7	FRAS1-related extracellular matrix protein 1	Frem1
E9Q5Z9	Predicted gene 11239	Gm11239
E9Q600	Lysyl oxidase homolog	Loxl4
E9Q601	Proline-rich protein 3	Prr3
E9Q604	Integrin alpha-M	Itgam
E9Q605	I-kappa-B kinase	Chuk
E9Q606	"Actin, cytoplasmic 1 (Fragment)"	Actb
E9Q613	Semaphorin-6C	Sema6c
E9Q614	DNA helicase	Chd3
E9Q616	AHNAK nucleoprotein (desmoyokin)	Ahnak
E9Q622	Protocadherin 11 X-linked	Pcdh11x
E9Q623	cDNA sequence BC051665	BC051665
E9Q624	Zinc finger protein 644	Zfp644
E9Q628	Zinc finger protein 369	Zfp369
E9Q630	NAD(P)(+)--arginine ADP-ribosyltransferase (Fragment)	Art3
E9Q631	Prolactin receptor (Fragment)	Prlr
E9Q632	RalBP1-associated Eps domain-containing protein 1	Reps1
E9Q637	POTE ankyrin domain family member 3A	Potefam3a
E9Q638	Disintegrin and metalloproteinase domain-containing protein 9	Adam9
E9Q640	RNA-binding protein 26	Rbm26
E9Q641	Nebulin-related-anchoring protein	Nrap
E9Q642	Rho GTPase-activating protein 28	Arhgap28
E9Q643	Very low-density lipoprotein receptor (Fragment)	Vldlr
E9Q646	Ubiquitin recognition factor in ER-associated degradation protein 1	Ufd1
E9Q647	WD repeat and SOCS box-containing protein 1	Wsb1
E9Q648	Vacuolar protein sorting-associated protein 53 homolog	Vps53
E9Q652	Regulator of G-protein-signaling 12	Rgs12
E9Q655	Ankyrin repeat domain-containing protein 34B (Fragment)	Ankrd34b
E9Q658	Prostate and testis-expressed 1	Pate1
E9Q663	tRNA methyltransferase 10 homolog A (Fragment)	Trmt10a
E9Q668	Semaphorin-3A	Sema3a
E9Q672	GTP-binding protein Rit1	Rit1
E9Q674	Mesoderm induction early response protein 2 (Fragment)	Mier2
E9Q679	Calcium/calmodulin-dependent protein kinase type 1G	Camk1g
E9Q682	Intraflagellar transport protein 140 homolog (Fragment)	Ift140
E9Q683	Voltage-dependent calcium channel subunit alpha-2/delta-2	Cacna2d2
E9Q686	GDP-fucose protein O-fucosyltransferase 1	Pofut1
E9Q688	"Troponin T, slow skeletal muscle"	Tnnt1
E9Q690	Oxidoreductase NAD-binding domain-containing protein 1	Oxnad1
E9Q692	Protein Wnt (Fragment)	Wnt11
E9Q693	Ribosomal RNA adenine dimethylase domain-containing 1	Rrnad1
E9Q694	Major facilitator superfamily domain-containing 4B5 (Fragment)	Mfsd4b5
E9Q695	RIKEN cDNA 1700020L13 gene	1700020L13Rik
E9Q696	Tyrosine-protein kinase	Lck
E9Q698	Coagulation factor XII	F12
E9Q6A0	Roundabout homolog 2	Robo2
E9Q6A2	"Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 3"	Serpine3
E9Q6A3	Sorbin and SH3 domain-containing protein 1	Sorbs1
E9Q6A6	Collagen alpha-6(VI) chain	Col6a6
E9Q6A7	Bromodomain PHD finger transcription factor	Bptf
E9Q6A9	Catenin beta-1	Ctnnb1
E9Q6B0	PWWP domain-containing DNA repair factor 3B (Fragment)	Pwwp3b
E9Q6B3	Ras-related protein Rab-11A	Rab11a
E9Q6B6	C-Jun-amino-terminal kinase-interacting protein 3	Mapk8ip3
E9Q6B9	Predicted gene 14408 (Fragment)	Gm14408
E9Q6C1	Oxysterol-binding protein	Osbpl9
E9Q6C2	"Complement component 1, s subcomponent 1"	C1s1
E9Q6C3	Cytochrome c oxidase assembly factor 8	Coa8
E9Q6C5	Thyroid hormone receptor-associated protein 3 (Fragment)	Thrap3
E9Q6C6	Tubulin polyglutamylase TTLL7	Ttll7
E9Q6C9	Protein FAM189B	Fam189b
E9Q6D3	Coiled-coil domain-containing 121	Ccdc121
E9Q6D7	RIKEN cDNA 1700024B05 gene	1700024B05Rik
E9Q6D8	Complement component C6	C6
E9Q6D9	TATA-box-binding protein (Fragment)	Tbp
E9Q6E0	C-Jun-amino-terminal kinase-interacting protein 3	Mapk8ip3
E9Q6E1	Radial spoke head 14 homolog	Rsph14
E9Q6E2	Cyclin-dependent kinase 8	Cdk8
E9Q6E4	Voltage-dependent T-type calcium channel subunit alpha-1H (Fragment)	Cacna1h
E9Q6E5	Serine and arginine-rich-splicing factor 11	Srsf11
E9Q6E8	Mastermind-like transcriptional coactivator 3	Maml3
E9Q6F0	Protein FAM3C (Fragment)	Fam3c
E9Q6F4	Puromycin-sensitive aminopeptidase	Npepps
E9Q6F9	Zinc finger protein 446	Zfp446
E9Q6G0	Microtubule-associated serine/threonine-protein kinase 4 (Fragment)	Mast4
E9Q6G4	ATP-binding cassette sub-family A member 7	Abca7
E9Q6H0	Guanylate cyclase	Gucy1b2
E9Q6H3	Ankyrin repeat and SOCS box protein 14	Asb14
E9Q6H4	Cullin-7	Cul7
E9Q6H6	Polyunsaturated fatty acid 5-lipoxygenase	Alox5
E9Q6H8	"Pleckstrin homology domain-containing, family A member 5"	Plekha5
E9Q6H9	Gametogenetin-binding protein 2 (Fragment)	Ggnbp2
E9Q6I2	Interleukin-1 receptor accessory protein	Il1rap
E9Q6I3	Protein Shroom3	Shroom3
E9Q6I5	Coatomer subunit epsilon	Cope
E9Q6I6	Transforming growth factor beta-1 proprotein	Tgfb1
E9Q6I8	"DOT1-like, histone H3 methyltransferase (S. cerevisiae)"	Dot1l
E9Q6I9	Transmembrane protein 40	Tmem40
E9Q6J0	1-alkyl-2-acetylglycerophosphocholine esterase (Fragment)	Pla2g7
E9Q6J4	Carcinoembryonic antigen-related cell adhesion molecule 3	Ceacam3
E9Q6J6	Pregnancy-specific glycoprotein 20	Psg20
E9Q6J7	Pregnancy-specific glycoprotein 22	Psg22
E9Q6J8	Dystrophia myotonica WD repeat-containing protein	Dmwd
E9Q6J9	Non-specific serine/threonine protein kinase	Dmpk
E9Q6K1	General transcription and DNA repair factor IIH helicase subunit XPD	Ercc2
E9Q6K3	Progesterone immunomodulatory-binding factor 1	Pibf1
E9Q6K7	"N-alpha-acetyltransferase 35, NatC auxiliary subunit (Fragment)"	Naa35
E9Q6L0	CLIP-associating protein 1	Clasp1
E9Q6L3	"Methylglutaconyl-CoA hydratase, mitochondrial"	Auh
E9Q6L4	TBC1 domain family member 1	Tbc1d1
E9Q6L5	ATR-interacting protein	Atrip
E9Q6L7	Glutathione S-transferase	Gsta5
E9Q6L8	BTB/POZ domain-containing protein 10	Btbd10
E9Q6L9	Leucine-rich repeat-containing protein 7	Lrrc7
E9Q6M3	Zinc finger protein 995	Zfp995
E9Q6M5	"Solute carrier family 22 (organic cation transporter), member 26"	Slc22a26
E9Q6M6	Mitochondrial glutamate carrier 1	Slc25a22
E9Q6M7	Pumilio homolog 1	Pum1
E9Q6M9	"Leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6"	Lilra6
E9Q6P1	Phosphoserine aminotransferase (Fragment)	Psat1
E9Q6P2	Serine/threonine-protein phosphatase	Ppp3cb
E9Q6P3	Sorting nexin-29	Snx29
E9Q6P4	Gamma-tubulin complex component 6	Tubgcp6
E9Q6P6	Protein FAM189B	Fam189b
E9Q6P7	Synaptotagmin-8 (Fragment)	Syt8
E9Q6P8	Serine/Arginine-related protein 53	Rsrc1
E9Q6P9	Voltage-dependent T-type calcium channel subunit alpha-1H	Cacna1h
E9Q6Q0	E3 ubiquitin-protein ligase LNX	Lnx1
E9Q6Q2	Non-specific serine/threonine protein kinase	Wnk2
E9Q6Q5	Microtubule-associated serine/threonine-protein kinase 1	Mast1
E9Q6Q8	TBC1 domain family member 4	Tbc1d4
E9Q6R1	"Integrin, alpha 10"	Itga10
E9Q6R3	Vesicle-trafficking protein SEC22b	Sec22b
E9Q6R4	AT-rich interactive domain-containing protein 1B	Arid1b
E9Q6R7	Utrophin	Utrn
E9Q6S0	Zinc finger protein 597	Zfp597
E9Q6S2	Olfactory receptor	Olfr1458
E9Q6S4	Predicted gene 17067	Gm17067
E9Q6S5	1-acyl-sn-glycerol-3-phosphate acyltransferase delta (Fragment)	Agpat4
E9Q6S8	MAM domain-containing glycosylphosphatidylinositol anchor protein 1	Mdga1
E9Q6T2	Sodium- and chloride-dependent creatine transporter 1 (Fragment)	Slc6a8
E9Q6T5	"Solute carrier family 2, facilitated glucose transporter member 3 (Fragment)"	Slc2a3
E9Q6T8	Protein capicua homolog (Fragment)	Cic
E9Q6T9	BTB/POZ domain-containing protein KCTD1	Kctd1
E9Q6U0	Voltage-dependent calcium channel beta subunit-associated regulatory protein	Cbarp
E9Q6U4	Prefoldin subunit 4	Pfdn4
E9Q6U5	RIKEN cDNA 1700001C19 gene	1700001C19Rik
E9Q6U6	WW domain-containing adapter protein with coiled-coil (Fragment)	Wac
E9Q6U7	GRIP and coiled-coil domain-containing protein 1 (Fragment)	Gcc1
E9Q6V3	Bleomycin hydrolase	Blmh
E9Q6V5	Exportin-6 (Fragment)	Xpo6
E9Q6V8	Rho GTPase-activating protein 27 (Fragment)	Arhgap27
E9Q6W0	cDNA sequence BC030500 (Fragment)	BC030500
E9Q6W1	Transcription factor PU.1 (Fragment)	Spi1
E9Q6W2	"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial"	Coa3
E9Q6W8	PCNA-interacting partner (Fragment)	Parpbp
E9Q6X0	Microtubule-associated protein RP/EB family member 2	Mapre2
E9Q6X2	"Serine (or cysteine) peptidase inhibitor, clade B, member 6a (Fragment)"	Serpinb6a
E9Q6X4	Ankyrin repeat domain-containing protein 13D	Ankrd13d
E9Q6X8	Trafficking protein particle complex subunit 14	Trappc14
E9Q6Y0	Transmembrane channel-like protein	Tmc3
E9Q6Y4	Zinc finger protein 94	Zfp94
E9Q6Y6	Enteropeptidase	Tmprss15
E9Q6Y8	Ubiquitin-specific peptidase 31	Usp31
E9Q6Y9	BTB/POZ domain-containing protein 10	Btbd10
E9Q6Z0	Cullin-5	Cul5
E9Q6Z3	Nuclear envelope integral membrane protein 1	Nemp1
E9Q6Z7	Olfactory receptor	Olfr902
E9Q6Z8	POU domain protein	Pou2f1
E9Q700	Receptor protein-tyrosine kinase (Fragment)	Fgfr2
E9Q701	Nuclear receptor corepressor 2	Ncor2
E9Q704	Peptidyl-glycine alpha-amidating monooxygenase	Pam
E9Q705	BolA-like protein 3	Bola3
E9Q706	Adenylate cyclase type 9	Adcy9
E9Q707	Zinc finger protein	Prdm5
E9Q708	Receptor protein-tyrosine kinase (Fragment)	Fgfr2
E9Q709	von Willebrand factor A domain-containing protein 5B1	Vwa5b1
E9Q711	Low density lipoprotein receptor-related protein 3	Lrp3
E9Q714	Polypeptide N-acetylgalactosaminyltransferase 17	Galnt17
E9Q715	Putative RNA-binding protein Luc7-like 2	Luc7l2
E9Q716	Olfactory receptor	Olfr913
E9Q717	Ubiquitinyl hydrolase 1	Atxn3
E9Q718	Procollagen-lysine 5-dioxygenase	Plod2
E9Q720	Regulator of G-protein-signaling 20	Rgs20
E9Q722	Upstream stimulatory factor 1	Usf1
E9Q723	Tetratricopeptide repeat domain 13	Ttc13
E9Q725	Olfactory receptor 715B	Olfr715b
E9Q731	Complement decay-accelerating factor transmembrane isoform	Cd55b
E9Q732	Zinc finger protein 949	Zfp949
E9Q740	Signal recognition particle subunit SRP72	Srp72
E9Q741	H(+)/Cl(-) exchange transporter 6	Clcn6
E9Q745	Amine oxidase	Aoc1l2
E9Q748	Antileukoproteinase	Slpi
E9Q752	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (Fragment)"	Inpp5d
E9Q754	Inactive serine/threonine-protein kinase VRK3	Vrk3
E9Q759	"Vomeronasal 2, receptor 14"	Vmn2r14
E9Q765	Pumilio homolog 2 (Fragment)	Pum2
E9Q768	SPRY domain-containing SOCS box protein 1 (Fragment)	Spsb1
E9Q770	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	Eif4g1
E9Q775	Zinc finger protein 426	Zfp426
E9Q776	Centromere protein F	Cenpf
E9Q777	A kinase (PRKA) anchor protein 11	Akap11
E9Q778	Ubiquitin carboxyl-terminal hydrolase 1 (Fragment)	Usp1
E9Q779	Tether-containing UBX domain for GLUT4	Aspscr1
E9Q794	Metastasis-associated protein MTA3	Mta3
E9Q796	Scm polycomb group protein-like 2	Scml2
E9Q797	Deoxyribonuclease-1 (Fragment)	Dnase1
E9Q798	ADP-ribosylation factor 4	Arf4
E9Q799	Protein SFI1 homolog	Sfi1
E9Q7A1	GDP-fucose protein O-fucosyltransferase 1	Pofut1
E9Q7A5	TraB domain-containing protein (Fragment)	Trabd
E9Q7A7	Cyclin-T1	Ccnt1
E9Q7A8	Enoyl-CoA delta isomerase 2 (Fragment)	Eci2
E9Q7B0	Procollagen-proline 4-dioxygenase	P4ha1
E9Q7C0	RIKEN cDNA 1700030K09 gene	1700030K09Rik
E9Q7C1	Mediator of RNA polymerase II transcription subunit 15	Med15
